# TR TradeHub English Translations
# Format: source,translated,context (optional)
# This file serves as the English language fallback and documentation

# Common Labels
Reserved Quantity,Reserved Quantity,
Available Quantity,Available Quantity,
Stock UOM,Stock UOM,
Min Order Quantity,Min Order Quantity,
Max Order Quantity,Max Order Quantity,
Low Stock Threshold,Low Stock Threshold,
Track Inventory,Track Inventory,
Allow Backorders,Allow Backorders,

# Product Details
Product Details,Product Details,
Weight,Weight,
Weight UOM,Weight UOM,
Length,Length,
Width,Width,
Height,Height,
Dimension UOM,Dimension UOM,

# Specifications
Specifications & Identifiers,Specifications & Identifiers,
SKU,SKU,
Barcode,Barcode,
Barcode Type,Barcode Type,
MPN,MPN,
GTIN,GTIN,
Has Variants,Has Variants,
Variant Of,Variant Of,
Attributes,Attributes,

# Media
Media,Media,
Primary Image,Primary Image,
Images,Images,
Video URL,Video URL,

# SEO
SEO,SEO,
Canonical URL,Canonical URL,
OG Image,OG Image,

# Shipping
Shipping,Shipping,
Free Shipping,Free Shipping,
Shipping Weight (kg),Shipping Weight (kg),
Shipping Class,Shipping Class,
Standard,Standard,
Bulky,Bulky,
Fragile,Fragile,
Hazardous,Hazardous,
Perishable,Perishable,
Ships From Country,Ships From Country,
Ships From City,Ships From City,
Handling Days,Handling Days,

# Listing Settings
Settings & Promotions,Settings & Promotions,
Featured,Featured,
Best Seller,Best Seller,
New Arrival,New Arrival,
On Sale,On Sale,
Sale Start Date,Sale Start Date,
Sale End Date,Sale End Date,

# Visibility
Visibility,Visibility,
Visible in Marketplace,Visible in Marketplace,
Visibility Start Date,Visibility Start Date,
Visibility End Date,Visibility End Date,
Searchable,Searchable,
Adult Only (18+),Adult Only (18+),
Requires Approval,Requires Approval,

# B2B
B2B Settings,B2B Settings,
Enable B2B Pricing,Enable B2B Pricing,
Wholesale Min Quantity,Wholesale Min Quantity,
Wholesale Price,Wholesale Price,
Enable Bulk Pricing Tiers,Enable Bulk Pricing Tiers,
Bulk Pricing Tiers,Bulk Pricing Tiers,

# Auction
Auction Settings,Auction Settings,
Is Auction,Is Auction,
Auction Start Date,Auction Start Date,
Auction End Date,Auction End Date,
Starting Bid,Starting Bid,
Reserve Price,Reserve Price,
Buy Now Price,Buy Now Price,
Bid Increment,Bid Increment,

# Statistics
Statistics,Statistics,
View Count,View Count,
Wishlist Count,Wishlist Count,
Order Count,Order Count,
Last Sold At,Last Sold At,
Review Count,Review Count,
Quality Score,Quality Score,

# Moderation
Moderation,Moderation,
Moderation Status,Moderation Status,
Moderated By,Moderated By,
Moderated At,Moderated At,
Rejection Reason,Rejection Reason,
Moderation Notes,Moderation Notes,
Approved,Approved,
Flagged,Flagged,

# Order
Marketplace Order,Marketplace Order,
Order Information,Order Information,
Order ID,Order ID,
Order Date,Order Date,
Order Status,Order Status,
Buyer,Buyer,
Buyer Type,Buyer Type,
Buyer Details,Buyer Details,
Buyer Name,Buyer Name,
Buyer Email,Buyer Email,
Buyer Phone,Buyer Phone,
Buyer Tax ID,Buyer Tax ID,
Company Name,Company Name,

# Order Items
Order Items,Order Items,
Items,Items,
Seller Summary,Seller Summary,
Seller Count,Seller Count,

# Order Totals
Order Totals,Order Totals,
Subtotal,Subtotal,
Discount Amount,Discount Amount,
Shipping Amount,Shipping Amount,
Tax Amount,Tax Amount,
Grand Total,Grand Total,

# Discounts
Discounts & Credits,Discounts & Credits,
Coupon Code,Coupon Code,
Coupon Discount,Coupon Discount,
Promotion Code,Promotion Code,
Promotion Discount,Promotion Discount,
Store Credit Used,Store Credit Used,

# Payment
Payment,Payment,
Payment Status,Payment Status,
Payment Method,Payment Method,
Payment Gateway,Payment Gateway,
Payment Intent,Payment Intent,
Payment Reference,Payment Reference,
Paid At,Paid At,
Paid Amount,Paid Amount,
Credit Card,Credit Card,
Debit Card,Debit Card,
Cash on Delivery,Cash on Delivery,
Wallet,Wallet,
Partially Paid,Partially Paid,
Failed,Failed,
Refunded,Refunded,
Partially Refunded,Partially Refunded,
Disputed,Disputed,

# Escrow
Escrow,Escrow,
Escrow Status,Escrow Status,
Escrow Account,Escrow Account,
Escrow Held Amount,Escrow Held Amount,
Escrow Release Date,Escrow Release Date,
Escrow Released At,Escrow Released At,
Not Required,Not Required,
Held,Held,
Partially Released,Partially Released,
Released,Released,

# Shipping Address
Shipping Address,Shipping Address,
Recipient Name,Recipient Name,
Contact Phone,Contact Phone,

# Billing Address
Billing Address,Billing Address,
Same as Shipping Address,Same as Shipping Address,
Billing Name,Billing Name,
Billing Address Line 1,Billing Address Line 1,
Billing Address Line 2,Billing Address Line 2,
Billing City,Billing City,
Billing State,Billing State,
Billing Postal Code,Billing Postal Code,
Billing Country,Billing Country,

# Fulfillment
Fulfillment,Fulfillment,
Fulfillment Status,Fulfillment Status,
Items Packed,Items Packed,
Items Shipped,Items Shipped,
Items Delivered,Items Delivered,
Items Returned,Items Returned,
Fully Fulfilled,Fully Fulfilled,
Partially Packed,Partially Packed,
Packed,Packed,
Partially Shipped,Partially Shipped,
Shipped,Shipped,
In Transit,In Transit,
Out for Delivery,Out for Delivery,
Partially Delivered,Partially Delivered,
Delivered,Delivered,
Partially Returned,Partially Returned,
Returned,Returned,

# Order Settings
Order Settings,Order Settings,
B2B Order,B2B Order,
Wholesale Order,Wholesale Order,
Requires Invoice,Requires Invoice,
Invoice Type,Invoice Type,
Auto Confirm,Auto Confirm,
E-Invoice (E-Fatura),E-Invoice (E-Fatura),
E-Archive (E-Arsiv),E-Archive (E-Arsiv),
Paper Invoice,Paper Invoice,

# E-Invoice
E-Invoice (Turkish E-Fatura),E-Invoice (Turkish E-Fatura),
E-Invoice Enabled,E-Invoice Enabled,
E-Invoice Status,E-Invoice Status,
E-Invoice UUID,E-Invoice UUID,
E-Invoice Number,E-Invoice Number,
E-Invoice Date,E-Invoice Date,
E-Invoice PDF,E-Invoice PDF,
Queued,Queued,
Sent,Sent,
Accepted,Accepted,
Cancelled,Cancelled,
Error,Error,

# Cron BI Integration
Cron BI Integration,Cron BI Integration,
Cron BI Customer,Cron BI Customer,
Cron BI Sales Order,Cron BI Sales Order,
Cron BI Delivery Note,Cron BI Delivery Note,
Cron BI Sales Invoice,Cron BI Sales Invoice,
Cron BI Payment Entry,Cron BI Payment Entry,
Cron BI Supplier,Cron BI Supplier,

# Commission
Commission,Commission,
Total Commission,Total Commission,
Average Commission Rate,Average Commission Rate,
Commission Status,Commission Status,
Commission Collected At,Commission Collected At,
Calculated,Calculated,
Collected,Collected,
Partially Collected,Partially Collected,
Waived,Waived,

# Cancellation
Cancellation,Cancellation,
Cancellation Requested,Cancellation Requested,
Cancellation Reason,Cancellation Reason,
Cancellation Requested At,Cancellation Requested At,
Cancellation Approved,Cancellation Approved,
Approved By,Approved By,
Cancelled At,Cancelled At,
Changed Mind,Changed Mind,
Found Better Price,Found Better Price,
Item Out of Stock,Item Out of Stock,
Payment Issues,Payment Issues,
Address Issue,Address Issue,
Order Error,Order Error,
Seller Request,Seller Request,
Fraud Suspected,Fraud Suspected,
Other,Other,

# Refund
Refund,Refund,
Refund Requested,Refund Requested,
Refund Amount,Refund Amount,
Refund Reason,Refund Reason,
Refund Status,Refund Status,
Refund Reference,Refund Reference,
Refunded At,Refunded At,
Order Cancelled,Order Cancelled,
Item Returned,Item Returned,
Defective Product,Defective Product,
Wrong Item,Wrong Item,
Not as Described,Not as Described,
Partial Fulfillment,Partial Fulfillment,
Processing,Processing,

# Source & Tracking
Source & Tracking,Source & Tracking,
Source Cart,Source Cart,
Source Channel,Source Channel,
IP Address,IP Address,
User Agent,User Agent,
Mobile App,Mobile App,
API,API,
POS,POS,
Manual,Manual,

# Timestamps
Timestamps,Timestamps,
Confirmed At,Confirmed At,
Processing Started At,Processing Started At,
Shipped At,Shipped At,
Delivered At,Delivered At,
Completed At,Completed At,

# Order Status Values
Await Payment,Await Payment,
Payment Received,Payment Received,
Confirmed,Confirmed,
Completed,Completed,
On Hold,On Hold,

# Common Messages
Required,Required,
Invalid,Invalid,
Success,Success,
Error,Error,
Warning,Warning,
Info,Info,
Loading,Loading,
Please wait,Please wait,
No data found,No data found,
Are you sure?,Are you sure?,
Yes,Yes,
No,No,

# Validation Messages
This field is required,This field is required,
Invalid email address,Invalid email address,
Invalid phone number,Invalid phone number,
Invalid IBAN,Invalid IBAN,
Invalid VKN,Invalid Tax Registration Number,
Invalid TCKN,Invalid Turkish ID Number,

# DocType Names
Seller Profile,Seller Profile,
Buyer Profile,Buyer Profile,
Listing,Listing,
Category,Category,
Marketplace Order,Marketplace Order,
Sub Order,Sub Order,
Cart,Cart,
Review,Review,
Escrow Account,Escrow Account,
Escrow Event,Escrow Event,
Payment Intent,Payment Intent,
SKU,SKU,
Listing Variant,Listing Variant,
Organization,Organization,
Marketplace Order Item,Marketplace Order Item,

# Sub Order
Sub Order,Sub Order,
Parent Order,Parent Order,
Seller Order ID,Seller Order ID,

# Additional common terms
Active,Active,
Inactive,Inactive,
Draft,Draft,
Pending Review,Pending Review,
Paused,Paused,
Out of Stock,Out of Stock,
Sold Out,Sold Out,
Suspended,Suspended,
Archived,Archived,
Guest,Guest,
